epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.278,2.00997,3.96416,1.47424,0,0,0,0,1.67152,4.12011,1.27549,0.00326667,0.00326667,0.00326667
2,121.15,1.59001,2.11483,1.23853,0.625,0.00285,0.31339,0.13163,2.25684,2.6172,1.47984,0.00657822,0.00657822,0.00657822
3,171.26,1.58392,1.62597,1.23545,0.35098,0.2597,0.21601,0.05588,2.58446,4.59357,1.7827,0.00986777,0.00986777,0.00986777
4,221.735,1.61735,1.45013,1.28176,0.55818,0.50799,0.4998,0.19258,2.08184,8.3417,1.70053,0.009901,0.009901,0.009901
5,271.417,1.56254,1.32343,1.2488,0.48199,0.37017,0.3623,0.10654,2.80457,2.64262,2.16931,0.009868,0.009868,0.009868
6,321.683,1.53228,1.22987,1.23796,0.76176,0.6497,0.73657,0.32722,1.75845,3.22276,1.3298,0.009835,0.009835,0.009835
7,371.557,1.5012,1.17691,1.24305,0.70159,0.59448,0.6795,0.35686,1.69773,1.59689,1.23776,0.009802,0.009802,0.009802
8,421.334,1.47217,1.13667,1.2144,0.74337,0.61986,0.71527,0.35516,1.84108,1.61424,1.30437,0.009769,0.009769,0.009769
9,471.118,1.45955,1.10379,1.21496,0.73905,0.66438,0.74312,0.44347,1.6026,1.22369,1.16505,0.009736,0.009736,0.009736
10,520.544,1.43092,1.06763,1.20246,0.83794,0.62272,0.75712,0.44826,1.60489,1.12156,1.20742,0.009703,0.009703,0.009703
11,570.069,1.41095,1.03576,1.20007,0.87001,0.63413,0.76954,0.44911,1.61569,1.08978,1.19736,0.00967,0.00967,0.00967
12,620.003,1.39583,1.00837,1.18288,0.80383,0.74258,0.82072,0.47224,1.49731,1.13395,1.12527,0.009637,0.009637,0.009637
13,670.02,1.37885,0.98706,1.17729,0.805,0.73749,0.8205,0.4745,1.54293,1.18801,1.16884,0.009604,0.009604,0.009604
14,720.006,1.36501,0.96639,1.17312,0.84707,0.77143,0.84815,0.4976,1.54582,1.01553,1.14808,0.009571,0.009571,0.009571
15,770.027,1.35021,0.95729,1.16815,0.82912,0.68664,0.80445,0.48933,1.44987,1.36463,1.12665,0.009538,0.009538,0.009538
16,819.755,1.35561,0.95585,1.17142,0.88227,0.71005,0.82202,0.46987,1.59109,1.06651,1.1585,0.009505,0.009505,0.009505
17,869.042,1.33435,0.92588,1.1658,0.94154,0.52397,0.73574,0.43415,1.66563,1.16357,1.20763,0.009472,0.009472,0.009472
18,919.066,1.33931,0.93012,1.16351,0.8334,0.7395,0.83245,0.48628,1.45536,1.18383,1.12339,0.009439,0.009439,0.009439
19,969.103,1.32888,0.9186,1.163,0.88127,0.75913,0.86416,0.52066,1.43598,1.21226,1.12623,0.009406,0.009406,0.009406
20,1019.05,1.3119,0.91015,1.15753,0.84002,0.78368,0.85415,0.532,1.41254,0.96325,1.10793,0.009373,0.009373,0.009373
21,1069.07,1.30888,0.90226,1.15757,0.8955,0.80879,0.88143,0.46678,1.70902,0.95547,1.19566,0.00934,0.00934,0.00934
22,1118.84,1.29408,0.86823,1.1451,0.89182,0.77169,0.85949,0.5029,1.54973,0.91481,1.13352,0.009307,0.009307,0.009307
23,1168.87,1.311,0.88697,1.14822,0.87269,0.79038,0.87946,0.5414,1.41397,0.93306,1.1159,0.009274,0.009274,0.009274
24,1218.77,1.28745,0.8678,1.13893,0.83344,0.77683,0.84515,0.45574,1.70664,1.01143,1.19423,0.009241,0.009241,0.009241
25,1268.7,1.29479,0.88359,1.14789,0.86983,0.82004,0.88627,0.55488,1.38951,0.90648,1.11105,0.009208,0.009208,0.009208
26,1318.4,1.29,0.86998,1.14323,0.89572,0.7403,0.84176,0.53679,1.38166,0.92261,1.09848,0.009175,0.009175,0.009175
27,1368.27,1.29176,0.85617,1.14645,0.89301,0.84361,0.90045,0.51969,1.51845,0.86198,1.14333,0.009142,0.009142,0.009142
28,1418.24,1.27459,0.8543,1.13586,0.87894,0.8105,0.88084,0.55448,1.36445,0.93786,1.08781,0.009109,0.009109,0.009109
29,1468.26,1.27215,0.8358,1.13374,0.86602,0.79909,0.87419,0.54676,1.38775,0.9301,1.07158,0.009076,0.009076,0.009076
30,1518.36,1.25966,0.8282,1.12637,0.8831,0.79795,0.88624,0.54865,1.40068,0.96073,1.09427,0.009043,0.009043,0.009043
31,1568.23,1.25473,0.82632,1.12008,0.83316,0.76427,0.83947,0.47932,1.58231,0.97366,1.16946,0.00901,0.00901,0.00901
32,1617.97,1.2577,0.8267,1.12802,0.89934,0.77511,0.86065,0.52798,1.47071,0.88966,1.10873,0.008977,0.008977,0.008977
33,1668.03,1.24865,0.81332,1.12626,0.92378,0.84247,0.91687,0.56185,1.39818,0.86974,1.08704,0.008944,0.008944,0.008944
34,1718.14,1.25636,0.82948,1.12498,0.8799,0.75285,0.85779,0.53367,1.40369,0.98338,1.10567,0.008911,0.008911,0.008911
35,1767.98,1.25073,0.81995,1.11843,0.89406,0.80137,0.87877,0.55941,1.42027,0.84819,1.09444,0.008878,0.008878,0.008878
36,1817.72,1.24512,0.8072,1.11841,0.93055,0.78767,0.87957,0.58192,1.34479,0.81742,1.06351,0.008845,0.008845,0.008845
37,1867.53,1.22975,0.79433,1.10954,0.91882,0.74943,0.8535,0.53055,1.48304,0.8835,1.11693,0.008812,0.008812,0.008812
38,1917.47,1.23493,0.79747,1.11218,0.88579,0.8145,0.87823,0.55971,1.34665,0.87101,1.06238,0.008779,0.008779,0.008779
39,1967.33,1.22436,0.7986,1.10809,0.9474,0.80194,0.88768,0.58542,1.33469,0.81137,1.06161,0.008746,0.008746,0.008746
40,2017.28,1.22545,0.78332,1.10956,0.91262,0.84646,0.90562,0.58078,1.34077,0.8097,1.06318,0.008713,0.008713,0.008713
41,2067.14,1.23402,0.78853,1.11473,0.8997,0.84989,0.90792,0.58844,1.33422,0.82168,1.04408,0.00868,0.00868,0.00868
42,2117.07,1.22067,0.78543,1.10664,0.87215,0.82934,0.88375,0.58054,1.31833,0.81482,1.04444,0.008647,0.008647,0.008647
43,2167.18,1.21631,0.77358,1.10056,0.88989,0.85388,0.91239,0.60407,1.28981,0.88416,1.04639,0.008614,0.008614,0.008614
44,2217.25,1.22088,0.7787,1.10567,0.92933,0.87785,0.93339,0.60774,1.31111,0.76782,1.04587,0.008581,0.008581,0.008581
45,2267.17,1.20701,0.77053,1.09788,0.9133,0.83105,0.90217,0.59744,1.31075,0.79094,1.04328,0.008548,0.008548,0.008548
46,2317.05,1.21514,0.78053,1.10268,0.93141,0.8448,0.91594,0.60024,1.35119,0.77701,1.072,0.008515,0.008515,0.008515
47,2367.14,1.21604,0.77162,1.09392,0.89705,0.87215,0.92629,0.60766,1.3101,0.77588,1.05054,0.008482,0.008482,0.008482
48,2417.07,1.20002,0.76664,1.09066,0.93034,0.83847,0.90692,0.57678,1.41509,0.77112,1.06776,0.008449,0.008449,0.008449
49,2466.9,1.20045,0.76249,1.09333,0.91705,0.79509,0.87495,0.57787,1.30474,0.81949,1.06571,0.008416,0.008416,0.008416
50,2516.76,1.19616,0.75282,1.09298,0.92376,0.82991,0.90114,0.60485,1.28932,0.75402,1.04508,0.008383,0.008383,0.008383
51,2566.59,1.20065,0.74712,1.0891,0.93016,0.81336,0.88959,0.59186,1.32543,0.77621,1.05969,0.00835,0.00835,0.00835
52,2616.66,1.19802,0.76057,1.08761,0.90982,0.86701,0.92278,0.6126,1.27613,0.76363,1.04168,0.008317,0.008317,0.008317
53,2666.74,1.18196,0.7477,1.08889,0.9059,0.86823,0.92586,0.60755,1.28023,0.79358,1.05573,0.008284,0.008284,0.008284
54,2716.61,1.19155,0.73646,1.08321,0.89571,0.85788,0.91097,0.5872,1.32147,0.78461,1.04026,0.008251,0.008251,0.008251
55,2766.65,1.19819,0.74647,1.09072,0.92649,0.87044,0.92839,0.58708,1.33652,0.77593,1.05035,0.008218,0.008218,0.008218
56,2816.51,1.18326,0.73346,1.08427,0.94217,0.82763,0.89998,0.59117,1.32216,0.79141,1.03758,0.008185,0.008185,0.008185
57,2866.6,1.19487,0.74858,1.08984,0.90995,0.87272,0.93187,0.60665,1.30622,0.78794,1.0448,0.008152,0.008152,0.008152
